λ_teo (Å),λ_obs (Å),Flujo,Profundidad,Velocidad (m/s),Curvatura,Bisectriz,Coef 0,Coef 1,Coef 2,Coef 3,Coef 4
4489.7391,4489.744097877816,0.03623689158360227,0.9637631084163978,333.7223036569641,869318343.8063215,-7557.653518386185,0.03664868401551761,0.18678245508077482,21.562825674837775,105.25172016522231,4254.168402289652
4490.084,4490.080306481168,0.19017968228782473,0.8098203177121752,-246.60765572799394,3968890074.689917,-129.93121254117978,0.1915340174383388,-0.7306342256251633,98.43076438845998,37.70844366141202,-2200.5128200292656
4494.5632,4494.569242727546,0.07553479097772406,0.9244652090222759,403.05677406604605,509291259.4995049,-11405.256432660792,0.0756740693661506,-0.08445231773101794,12.605499983731233,54.34036796097062,1673.191878453128
4502.5909,4502.586773580054,0.49992607477511114,0.5000739252248889,-274.7461641317666,5465409439.763323,-156.30890732813324,0.5005394720946815,-0.5753149280939899,134.79336783316316,85.30847135840334,-16727.749374683775
4514.1839,4514.183093510639,0.25897494785738884,0.7410250521426112,-53.559941999384264,5470373977.829324,316.83879215354244,0.2593400918564484,0.4431846081459764,134.2235379544464,-171.9032849309023,-11265.454872078488
4517.5245,4517.52932425508,0.22551942520438015,0.7744805747956198,320.14774645479054,3285568401.9150796,2238.3609734514666,0.22678173343151029,0.6440647091016999,80.49678900176556,-437.11681358983253,-3088.8118145225785
4547.0169,4547.012529175186,0.1290123889484743,0.8709876110515257,-288.1758179711254,3541846253.9920464,-1466.8387564623558,0.12986835025885707,0.5380845035054264,85.65395239989618,326.44696510176715,-4667.97555159009
4547.8474,4547.842461439825,0.1947609476200333,0.8052390523799667,-325.54810301590044,3718712477.4490004,-645.5718615926471,0.1963680291889083,-0.7628626525554099,89.89836245960448,158.29341893839197,-1906.226864673548
4556.1259,4556.128132665816,0.16438680254014165,0.8356131974598584,146.90910384458476,2801314528.855626,-299.15065353318323,0.16577079835100275,-0.6121620466858795,67.47455351029632,41.39760505028267,1496.3980080141898
4560.0881,4560.082445668194,0.352501946542292,0.647498053457708,-371.73098266854464,5117681231.026644,-430.6708721065463,0.3525560365638086,-0.16325188050799458,123.05459801918067,198.39155403724973,-14363.600803757605
4574.7179,4574.718433744167,0.19851413423585637,0.8014858657641436,34.97756130545584,4945914781.967679,434.49403971487305,0.19901264685058445,-0.48455888638274075,118.16473770473218,-185.1540754107571,-8125.61547488042
4587.1276,4587.124482735087,0.33213271887677953,0.6678672811232205,-203.72934694777555,5423303881.841959,-523.2513351892924,0.3346256602064979,-1.137544722222028,128.87031564732075,265.9291518129123,-13946.992261857416
4598.1171,4598.118743180924,0.20254598139939875,0.7974540186006013,107.1336891386299,4552514617.931629,519.0606684898322,0.20261486340831927,0.17234701363240365,107.6616393437961,-184.55659702797195,-5346.087402197711
